,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Playoff,Location,Year,Conference
10,Hornets,82,241.2,36.2,77.4,0.468,4.2,11.0,0.383,32.0,66.3,0.482,20.0,26.7,0.751,12.0,28.5,40.6,23.7,8.4,3.8,15.2,21.4,96.6,True,Charlotte,1998,Eastern
11,Pacers,82,241.8,35.6,75.9,0.469,4.9,12.5,0.39,30.7,63.3,0.485,19.9,26.0,0.764,10.7,28.6,39.3,23.0,7.9,4.5,14.2,22.7,96.0,True,Indiana,1998,Eastern
12,Clippers,82,241.2,35.7,81.6,0.438,6.4,17.9,0.358,29.3,63.7,0.461,18.0,25.0,0.723,12.7,27.8,40.4,18.7,7.6,5.6,16.1,22.3,95.9,False,Los Angeles,1998,Western
13,Celtics,82,240.6,36.7,84.6,0.434,5.1,15.2,0.332,31.7,69.3,0.457,17.4,24.0,0.726,14.6,24.9,39.5,22.1,12.0,4.5,16.2,26.9,95.9,False,Boston,1998,Eastern
14,Hawks,82,242.4,35.2,77.5,0.455,4.1,12.4,0.332,31.1,65.1,0.478,21.3,28.2,0.756,13.5,29.5,43.0,19.1,8.0,6.0,14.8,20.4,95.9,True,Atlanta,1998,Eastern
15,Heat,82,240.9,34.8,77.2,0.45,6.7,18.8,0.355,28.1,58.3,0.481,18.8,25.4,0.739,12.5,29.5,42.0,21.4,8.1,5.2,15.0,24.2,95.0,True,Miami,1998,Eastern
16,Raptors,82,243.0,36.2,83.1,0.435,4.5,13.2,0.343,31.6,69.8,0.453,18.0,25.1,0.718,14.5,26.2,40.7,21.3,9.4,8.1,16.7,22.6,94.9,False,Toronto,1998,Eastern
17,Bucks,82,243.0,35.6,78.0,0.456,3.0,8.6,0.354,32.5,69.5,0.469,20.3,26.4,0.767,12.6,27.3,39.9,20.1,8.9,4.4,16.9,23.4,94.5,False,Milwaukee,1998,Eastern
18,Trail Blazers,82,241.8,35.2,78.0,0.451,4.0,12.8,0.309,31.2,65.2,0.479,20.0,27.1,0.737,13.2,30.8,44.0,21.5,7.1,5.7,16.9,22.7,94.3,True,Portland,1998,Western
19,Pistons,82,243.4,34.9,77.7,0.449,3.6,11.4,0.312,31.3,66.3,0.473,20.8,27.9,0.745,12.7,28.5,41.2,19.5,8.3,4.2,14.6,22.0,94.2,False,Detroit,1998,Eastern
20,76ers,82,240.9,34.6,78.2,0.443,3.0,9.9,0.3,31.6,68.3,0.463,21.1,28.7,0.737,13.7,28.0,41.7,21.1,8.9,6.0,16.5,22.9,93.3,False,Philadelphia,1998,Eastern
21,Kings,82,240.6,36.1,81.5,0.442,3.5,9.8,0.351,32.6,71.7,0.455,17.6,25.6,0.687,13.3,28.1,41.4,22.4,7.3,5.1,15.5,22.1,93.1,False,Sacramento,1998,Western
22,Spurs,82,241.8,35.3,75.5,0.468,3.7,10.5,0.35,31.7,64.9,0.488,18.2,26.4,0.688,12.0,32.2,44.2,22.4,6.3,6.9,16.1,21.1,92.5,True,San Antonio,1998,Western
23,Cavaliers,82,241.8,34.4,75.7,0.454,3.6,9.8,0.372,30.7,65.9,0.466,20.2,26.7,0.756,11.6,28.4,40.1,23.1,9.9,5.1,17.3,23.6,92.5,True,Cleveland,1998,Eastern
24,Knicks,82,241.8,34.9,78.2,0.447,4.7,13.9,0.335,30.3,64.3,0.471,17.1,22.1,0.772,11.9,29.7,41.6,21.8,7.7,3.4,15.2,23.7,91.6,True,New York,1998,Eastern
25,Mavericks,82,242.7,35.1,82.4,0.427,5.1,14.4,0.357,30.0,67.9,0.442,16.0,21.2,0.753,12.3,27.8,40.1,18.7,7.9,5.7,14.4,20.0,91.4,False,Dallas,1998,Western
26,Magic,82,241.8,33.8,78.7,0.429,3.6,11.1,0.323,30.2,67.7,0.447,18.9,26.1,0.726,14.4,26.9,41.2,20.7,7.9,5.4,15.3,19.7,90.1,False,Orlando,1998,Eastern
27,Nuggets,82,240.6,32.6,78.2,0.417,3.5,10.9,0.323,29.1,67.3,0.433,20.2,26.2,0.772,12.7,26.3,39.0,18.9,8.1,4.8,16.0,23.6,89.0,False,Denver,1998,Western
28,Warriors,82,241.8,34.7,83.9,0.413,2.3,8.5,0.272,32.4,75.5,0.429,16.6,23.3,0.71,15.7,30.2,45.9,20.8,7.6,5.5,16.7,22.7,88.3,False,Golden State,1998,Western
0,Kings,50,244.0,38.4,86.1,0.445,5.8,18.9,0.308,32.6,67.3,0.484,17.7,25.9,0.683,14.1,31.5,45.6,22.6,8.9,4.6,16.8,20.3,100.2,True,Sacramento,1999,Western
1,Lakers,50,241.0,36.8,78.7,0.468,4.8,13.7,0.352,32.0,65.0,0.492,20.5,30.1,0.683,12.4,29.6,42.0,21.9,7.8,5.7,15.1,24.6,99.0,True,Los Angeles,1999,Western
2,Suns,50,241.0,35.9,80.1,0.449,5.2,14.0,0.372,30.7,66.0,0.465,18.5,24.3,0.76,12.0,28.4,40.3,25.0,8.9,4.0,13.6,20.4,95.6,True,Phoenix,1999,Western
4,Trail Blazers,50,243.5,34.9,79.1,0.442,4.9,13.5,0.364,30.0,65.6,0.457,20.0,27.0,0.743,12.9,31.4,44.3,21.5,8.2,5.8,15.4,22.5,94.8,True,Portland,1999,Western
5,Pacers,50,242.0,34.6,77.3,0.448,5.9,16.0,0.368,28.7,61.3,0.469,19.5,24.6,0.796,11.5,29.0,40.5,20.1,6.3,4.5,13.0,21.6,94.7,True,Indiana,1999,Eastern
6,Rockets,50,241.5,35.1,76.0,0.462,6.7,18.3,0.368,28.4,57.7,0.492,17.3,23.7,0.729,10.7,30.8,41.5,21.2,7.7,5.2,16.2,19.2,94.2,True,Houston,1999,Western
