,Rank,Team,Wins Overall,Losses Overall,Wins Home,Losses Home,Wins Road,Losses Road,Perc_WinHome,Perc_LossHome,Perc_WinRoad,Perc_LossRoad,Year,difference
8,9,Charlotte Hornets,48,34,30,11,18,23,73.17073170731707,26.82926829268293,43.90243902439025,56.09756097560976,2016,29.268292682926827
9,10,Miami Heat,48,34,28,13,20,21,68.29268292682927,31.70731707317073,48.78048780487805,51.21951219512195,2016,19.512195121951223
10,11,Indiana Pacers,45,37,26,15,19,22,63.41463414634146,36.58536585365854,46.34146341463415,53.65853658536586,2016,17.073170731707314
11,12,Detroit Pistons,44,38,26,15,18,23,63.41463414634146,36.58536585365854,43.90243902439025,56.09756097560976,2016,19.512195121951216
12,13,Portland Trail Blazers,44,38,28,13,16,25,68.29268292682927,31.70731707317073,39.02439024390244,60.97560975609756,2016,29.268292682926834
13,14,Dallas Mavericks,42,40,23,18,19,22,56.09756097560976,43.90243902439025,46.34146341463415,53.65853658536586,2016,9.756097560975611
14,15,Memphis Grizzlies,42,40,26,15,16,25,63.41463414634146,36.58536585365854,39.02439024390244,60.97560975609756,2016,24.390243902439025
15,16,Chicago Bulls,42,40,26,15,16,25,63.41463414634146,36.58536585365854,39.02439024390244,60.97560975609756,2016,24.390243902439025
16,17,Houston Rockets,41,41,23,18,18,23,56.09756097560976,43.90243902439025,43.90243902439025,56.09756097560976,2016,12.195121951219512
17,18,Washington Wizards,41,41,22,19,19,22,53.65853658536586,46.34146341463415,46.34146341463415,53.65853658536586,2016,7.31707317073171
18,19,Utah Jazz,40,42,24,17,16,25,58.536585365853654,41.46341463414634,39.02439024390244,60.97560975609756,2016,19.512195121951216
19,20,Orlando Magic,35,47,23,18,12,29,56.09756097560976,43.90243902439025,29.268292682926827,70.73170731707317,2016,26.829268292682933
20,21,Denver Nuggets,33,49,18,23,15,26,43.90243902439025,56.09756097560976,36.58536585365854,63.41463414634146,2016,7.31707317073171
21,22,Milwaukee Bucks,33,49,23,18,10,31,56.09756097560976,43.90243902439025,24.390243902439025,75.60975609756098,2016,31.707317073170735
22,23,Sacramento Kings,33,49,18,23,15,26,43.90243902439025,56.09756097560976,36.58536585365854,63.41463414634146,2016,7.31707317073171
